Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Scientist - Biomarker and Flow Cytometry,$90K-$109K,2.4,Crown Bioscience,"San Diego, CA",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,$50 to $100 million 
Data Scientist,$90K-$109K,2.9,GNS Healthcare,"Cambridge, MA",51 - 200 ,Company - Private,Biotech & Pharmaceuticals,$10 to $25 million 
Analytics Manager,$90K-$109K,4.4,OneMagnify,"Dearborn, MI",201 - 500 ,Company - Private,Advertising & Marketing,Unknown 
Data Scientist,$90K-$109K,2.9,SPECTRUM,"Maryland Heights, MO",10000+ ,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",$10+ billion 
Staff Scientist- Upstream PD,$90K-$109K,2.7,Advanced BioScience Laboratories,"Rockville, MD",201 - 500 ,Company - Private,Biotech & Pharmaceuticals,$50 to $100 million 
Data Engineer,$90K-$109K,4.2,Procore Technologies,"Carpinteria, CA",1001 - 5000 ,Company - Private,Computer Hardware & Software,Unknown 
Sr Scientist - Extractables & Leachables,$90K-$109K,3.5,Ritedose,"Columbia, SC",201 - 500 ,Company - Private,Biotech & Pharmaceuticals,$100 to $500 million 
ELISA RESEARCH SCIENTIST (CV-15),$90K-$109K,1.0,Covid-19 Search Partners,"Hauppauge, NY",Not Classified,Not Classified,Not Classified,Not Classified
Sr Data Scientist,$90K-$109K,4.2,bioM,"Saint Louis, MO",10000+ ,Company - Private,Biotech & Pharmaceuticals,$2 to $5 billion 
Data Scientist,$101K-$165K,4.5,Novetta,"Herndon, VA",501 - 1000 ,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million 
Experienced Data Scientist,$101K-$165K,4.4,Guzman ,"Washington, DC",1 - 50 ,Company - Private,Federal Agencies,Unknown 
Machine Learning Engineer,$101K-$165K,1.0,Radical Convergence,"Reston, VA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$101K-$165K,3.5,Leidos,"Fort Meade, MD",10000+ ,Company - Public,Aerospace & Defense,$10+ billion 
